fungicide ,inoculum,treatment,estimate_growth
Prothioconzole_1.5ppm,8,control,1.15
Prothioconzole_1.5ppm,15,control,6.6
Prothioconzole_1.5ppm,15,control,5.6
Prothioconzole_1.5ppm,15,control,6.6
Prothioconzole_1.5ppm,15,control,5.6
Prothioconzole_2ppm,1,Fungicide,0.8
Prothioconzole_2ppm,1,Fungicide,0.8
Prothioconzole_2ppm,2,Fungicide,0.7
Prothioconzole_2ppm,2,Fungicide,0.7
Prothioconzole_2ppm,6,Fungicide,0
Prothioconzole_2ppm,6,Fungicide,0
Prothioconzole_2ppm,7,Fungicide,0
Prothioconzole_2ppm,7,Fungicide,0
Prothioconzole_2ppm,8,Fungicide,0.8
Prothioconzole_2ppm,8,Fungicide,0.8
Prothioconzole_2ppm,15,Fungicide,0
Prothioconzole_2ppm,15,Fungicide,0
Prothioconzole_2ppm,1,control,6.55
Prothioconzole_2ppm,1,control,6.9
Prothioconzole_2ppm,2,control,7
Prothioconzole_2ppm,2,control,6.4
Prothioconzole_2ppm,6,control,7.75
Prothioconzole_2ppm,6,control,7.1
Prothioconzole_2ppm,7,control,6
Prothioconzole_2ppm,7,control,6.85
Prothioconzole_2ppm,8,control,6.2
Prothioconzole_2ppm,8,control,1.15
Prothioconzole_2ppm,15,control,6.6
Prothioconzole_2ppm,15,control,5.6
Prothioconzole_2ppm,15,control,6.6
Prothioconzole_2ppm,15,control,5.6
Prothioconzole_2.5_ppm,1,Fungicide,0
Prothioconzole_2.5_ppm,1,Fungicide,0
Prothioconzole_2.5_ppm,2,Fungicide,0
Prothioconzole_2.5_ppm,2,Fungicide,0
Prothioconzole_2.5_ppm,6,Fungicide,0
Prothioconzole_2.5_ppm,6,Fungicide,0
Prothioconzole_2.5_ppm,7,Fungicide,0
Prothioconzole_2.5_ppm,7,Fungicide,0
Prothioconzole_2.5_ppm,8,Fungicide,0
Prothioconzole_2.5_ppm,8,Fungicide,0
Prothioconzole_2.5_ppm,15,Fungicide,0
Prothioconzole_2.5_ppm,15,Fungicide,0
Prothioconzole_2.5_ppm,1,control,6.55
Prothioconzole_2.5_ppm,1,control,6.9
Prothioconzole_2.5_ppm,2,control,7
Prothioconzole_2.5_ppm,2,control,6.4
Prothioconzole_2.5_ppm,6,control,7.75
Prothioconzole_2.5_ppm,6,control,7.1
Prothioconzole_2.5_ppm,7,control,6
Prothioconzole_2.5_ppm,7,control,6.85
Prothioconzole_2.5_ppm,8,control,6.2
Prothioconzole_2.5_ppm,8,control,1.15
Prothioconzole_2.5_ppm,15,control,6.6
Prothioconzole_2.5_ppm,15,control,5.6
Prothioconzole_2.5_ppm,15,control,6.6
Prothioconzole_2.5_ppm,15,control,5.6
Prothioconzole_2.5ppm,1,Fungicide,1.55
Prothioconzole_2.5ppm,1,Fungicide,1.3
Prothioconzole_2.5ppm,2,Fungicide,0.7
Prothioconzole_2.5ppm,2,Fungicide,0.6
Prothioconzole_2.5ppm,3,Fungicide,0.6
Prothioconzole_2.5ppm,3,Fungicide,0.6
Prothioconzole_2.5ppm,4,Fungicide,1.65
Prothioconzole_2.5ppm,4,Fungicide,1.35
Prothioconzole_2.5ppm,5,Fungicide,0.6
Prothioconzole_2.5ppm,5,Fungicide,0.6
Prothioconzole_2.5ppm,6,Fungicide,0.6
Prothioconzole_2.5ppm,6,Fungicide,0.6
Prothioconzole_2.5ppm,7,Fungicide,1.35
Prothioconzole_2.5ppm,7,Fungicide,1.25
Prothioconzole_2.5ppm,8,Fungicide,3.75
Prothioconzole_2.5ppm,8,Fungicide,3.75
Prothioconzole_2.5ppm,9,Fungicide,1.2
Prothioconzole_2.5ppm,9,Fungicide,1.3
Prothioconzole_2.5ppm,13,Fungicide,0.6
Prothioconzole_2.5ppm,13,Fungicide,0.6
Prothioconzole_2.5ppm,1,control,6.8
Prothioconzole_2.5ppm,1,control,7.1
Prothioconzole_2.5ppm,2,control,5.75
Prothioconzole_2.5ppm,2,control,6.25
Prothioconzole_2.5ppm,3,control,5.65
Prothioconzole_2.5ppm,3,control,5.55
Prothioconzole_2.5ppm,4,control,1.25
Prothioconzole_2.5ppm,4,control,1.05
Prothioconzole_2.5ppm,5,control,5.5
Prothioconzole_2.5ppm,5,control,5.45
Prothioconzole_2.5ppm,6,control,6.85
Prothioconzole_2.5ppm,6,control,7.1
Prothioconzole_2.5ppm,7,control,6.6
Prothioconzole_2.5ppm,7,control,6.9
Prothioconzole_2.5ppm,8,control,6.75
Prothioconzole_2.5ppm,8,control,6.7
Prothioconzole_2.5ppm,9,control,6.5
Prothioconzole_2.5ppm,9,control,6.2
Prothioconzole_2.5ppm,13,control,5
Prothioconzole_2.5ppm,13,control,4.9
Prothioconzole_3ppm,1,Fungicide,0
Prothioconzole_3ppm,1,Fungicide,0
Prothioconzole_3ppm,2,Fungicide,0
Prothioconzole_3ppm,2,Fungicide,0
Prothioconzole_3ppm,6,Fungicide,0
Prothioconzole_3ppm,6,Fungicide,0
Prothioconzole_3ppm,7,Fungicide,0
Prothioconzole_3ppm,7,Fungicide,0
Prothioconzole_3ppm,8,Fungicide,0
Prothioconzole_3ppm,8,Fungicide,0
Prothioconzole_3ppm,15,Fungicide,0
Prothioconzole_3ppm,15,Fungicide,0
Prothioconzole_3ppm,1,control,6.55
Prothioconzole_3ppm,1,control,6.9
Prothioconzole_3ppm,2,control,7
Prothioconzole_3ppm,2,control,6.4
Prothioconzole_3ppm,6,control,7.75
Prothioconzole_3ppm,6,control,7.1
Prothioconzole_3ppm,7,control,6
Prothioconzole_3ppm,7,control,6.85
Prothioconzole_3ppm,8,control,6.2
Prothioconzole_3ppm,8,control,1.15
Prothioconzole_3ppm,15,control,6.6
Prothioconzole_3ppm,15,control,5.6
Prothioconzole_3ppm,15,control,6.6
Prothioconzole_3ppm,15,control,5.6
Prothioconzole_3.5ppm,1,Fungicide,0
Prothioconzole_3.5ppm,1,Fungicide,0
Prothioconzole_3.5ppm,2,Fungicide,0
Prothioconzole_3.5ppm,2,Fungicide,0
Prothioconzole_3.5ppm,6,Fungicide,0
Prothioconzole_3.5ppm,6,Fungicide,0
Prothioconzole_3.5ppm,7,Fungicide,0
Prothioconzole_3.5ppm,7,Fungicide,0
Prothioconzole_3.5ppm,8,Fungicide,0
Prothioconzole_3.5ppm,8,Fungicide,0
Prothioconzole_3.5ppm,15,Fungicide,0
Prothioconzole_3.5ppm,15,Fungicide,0
Prothioconzole_3.5ppm,1,control,6.55
Prothioconzole_3.5ppm,1,control,6.9
Prothioconzole_3.5ppm,2,control,7
Prothioconzole_3.5ppm,2,control,6.4
Prothioconzole_3.5ppm,6,control,7.75
Prothioconzole_3.5ppm,6,control,7.1
Prothioconzole_3.5ppm,7,control,6
Prothioconzole_3.5ppm,7,control,6.85
Prothioconzole_3.5ppm,8,control,6.2
Prothioconzole_3.5ppm,8,control,1.15
Prothioconzole_3.5ppm,15,control,6.6
Prothioconzole_3.5ppm,15,control,5.6
Prothioconzole_3.5ppm,15,control,6.6
Prothioconzole_3.5ppm,15,control,5.6
Prothioconzole_4ppm,1,Fungicide,0
Prothioconzole_4ppm,1,Fungicide,0
Prothioconzole_4ppm,2,Fungicide,0
Prothioconzole_4ppm,2,Fungicide,0
Prothioconzole_4ppm,6,Fungicide,0
Prothioconzole_4ppm,6,Fungicide,0
Prothioconzole_4ppm,7,Fungicide,0
Prothioconzole_4ppm,7,Fungicide,0
Prothioconzole_4ppm,8,Fungicide,0
Prothioconzole_4ppm,8,Fungicide,0
Prothioconzole_4ppm,15,Fungicide,0
Prothioconzole_4ppm,15,Fungicide,0
Prothioconzole_4ppm,1,control,6.55
Prothioconzole_4ppm,1,control,6.9
Prothioconzole_4ppm,2,control,7
Prothioconzole_4ppm,2,control,6.4
Prothioconzole_4ppm,6,control,7.75
Prothioconzole_4ppm,6,control,7.1
Prothioconzole_4ppm,7,control,6
Prothioconzole_4ppm,7,control,6.85
Prothioconzole_4ppm,8,control,6.2
Prothioconzole_4ppm,8,control,1.15
Prothioconzole_4ppm,15,control,6.6
Prothioconzole_4ppm,15,control,5.6
Prothioconzole_4ppm,15,control,6.6
Prothioconzole_4ppm,15,control,5.6
