Fungicide,inoculum,experiment,treatment,experimental_repetition,growth
boscalid,902,plug,control,two,5.735
boscalid,902,plug,control,two,5.165
boscalid,902,paper,fungicide,one,2.165
boscalid,902,paper,fungicide,one,2.19
boscalid,902,paper,fungicide,one,2.13
boscalid,902,paper,fungicide,one,0.15
boscalid,902,paper,fungicide,two,2.02
boscalid,902,paper,fungicide,two,2.36
boscalid,902,paper,fungicide,two,2.295
boscalid,902,paper,fungicide,two,2.415
boscalid,902,paper,control,one,
boscalid,902,paper,control,one,3.55
boscalid,902,paper,control,one,3.74
boscalid,902,paper,control,one,
boscalid,902,paper,control,two,5.545
boscalid,902,paper,control,two,5.77
boscalid,902,paper,control,two,5.395
boscalid,902,paper,control,two,5.295
prothioconazole,152,plug,fungicide,one,1.755
prothioconazole,152,plug,fungicide,one,1.73
prothioconazole,152,plug,fungicide,one,1.545
prothioconazole,152,plug,fungicide,one,1.77
prothioconazole,152,plug,fungicide,two,2.075
prothioconazole,152,plug,fungicide,two,1.895
prothioconazole,152,plug,fungicide,two,1.765
prothioconazole,152,plug,fungicide,two,2.15
prothioconazole,152,plug,control,one,6.355
prothioconazole,152,plug,control,one,5.97
prothioconazole,152,plug,control,one,5.965
prothioconazole,152,plug,control,one,6.2
prothioconazole,152,plug,control,two,6.93
prothioconazole,152,plug,control,two,6.895
prothioconazole,152,plug,control,two,6.365
prothioconazole,152,plug,control,two,6.545
prothioconazole,152,paper,fungicide,one,0.67
prothioconazole,152,paper,fungicide,one,0.8
prothioconazole,152,paper,fungicide,one,0.995
prothioconazole,152,paper,fungicide,one,1.355
prothioconazole,152,paper,fungicide,two,0.715
prothioconazole,152,paper,fungicide,two,0.4
prothioconazole,152,paper,fungicide,two,0
prothioconazole,152,paper,fungicide,two,1.515
prothioconazole,152,paper,control,one,4.35
prothioconazole,152,paper,control,one,4.65
prothioconazole,152,paper,control,one,4.69
prothioconazole,152,paper,control,one,4.33
prothioconazole,152,paper,control,two,6.07
prothioconazole,152,paper,control,two,6.225
prothioconazole,152,paper,control,two,6.04
prothioconazole,152,paper,control,two,6.32
prothioconazole,274,plug,fungicide,one,0.5
prothioconazole,274,plug,fungicide,one,0.96
prothioconazole,274,plug,fungicide,one,0.93
prothioconazole,274,plug,fungicide,one,0.97
prothioconazole,274,plug,fungicide,two,0.985
prothioconazole,274,plug,fungicide,two,1.065
prothioconazole,274,plug,fungicide,two,1.11
prothioconazole,274,plug,fungicide,two,1.225
prothioconazole,274,plug,control,one,5.415
prothioconazole,274,plug,control,one,5.82
prothioconazole,274,plug,control,one,5.75
prothioconazole,274,plug,control,one,5.455
prothioconazole,274,plug,control,two,5.855
prothioconazole,274,plug,control,two,6.03
prothioconazole,274,plug,control,two,5.83
prothioconazole,274,plug,control,two,5.885
prothioconazole,274,paper,fungicide,one,0.15
prothioconazole,274,paper,fungicide,one,0
prothioconazole,274,paper,fungicide,one,0.5
prothioconazole,274,paper,fungicide,one,0.45
prothioconazole,274,paper,fungicide,two,0.8
prothioconazole,274,paper,fungicide,two,0.5
prothioconazole,274,paper,fungicide,two,0.6
prothioconazole,274,paper,fungicide,two,0.7
prothioconazole,274,paper,control,one,4.495
prothioconazole,274,paper,control,one,4.44
prothioconazole,274,paper,control,one,4.155
prothioconazole,274,paper,control,one,3.665
prothioconazole,274,paper,control,two,4.375
prothioconazole,274,paper,control,two,4.93
prothioconazole,274,paper,control,two,4.33
prothioconazole,274,paper,control,two,4.215
prothioconazole,465,plug,fungicide,one,3.735
prothioconazole,465,plug,fungicide,one,3.84
prothioconazole,465,plug,fungicide,one,3.795
prothioconazole,465,plug,fungicide,one,3.76
prothioconazole,465,plug,fungicide,two,3.92
prothioconazole,465,plug,fungicide,two,3.985
prothioconazole,465,plug,fungicide,two,3.85
prothioconazole,465,plug,fungicide,two,3.965
prothioconazole,465,plug,control,one,5.9
prothioconazole,465,plug,control,one,5.935
prothioconazole,465,plug,control,one,5.515
prothioconazole,465,plug,control,one,6.195
prothioconazole,465,plug,control,two,6.39
prothioconazole,465,plug,control,two,6.28
prothioconazole,465,plug,control,two,6.41
prothioconazole,465,plug,control,two,6.21
prothioconazole,465,paper,fungicide,one,2.475
prothioconazole,465,paper,fungicide,one,2.755
prothioconazole,465,paper,fungicide,one,2.83
prothioconazole,465,paper,fungicide,one,2.685
prothioconazole,465,paper,fungicide,two,2.355
prothioconazole,465,paper,fungicide,two,2.925
prothioconazole,465,paper,fungicide,two,2.57
prothioconazole,465,paper,fungicide,two,2.165
prothioconazole,465,paper,control,one,4.87
prothioconazole,465,paper,control,one,5.07
prothioconazole,465,paper,control,one,5.005
prothioconazole,465,paper,control,one,4.81
prothioconazole,465,paper,control,two,4.87
prothioconazole,465,paper,control,two,4.02
prothioconazole,465,paper,control,two,4.95
prothioconazole,465,paper,control,two,4.675
prothioconazole,560,plug,fungicide,one,4.08
prothioconazole,560,plug,fungicide,one,4.02
prothioconazole,560,plug,fungicide,one,3.725
prothioconazole,560,plug,fungicide,one,3.02
prothioconazole,560,plug,fungicide,two,4.805
prothioconazole,560,plug,fungicide,two,4.58
prothioconazole,560,plug,fungicide,two,4.005
prothioconazole,560,plug,fungicide,two,4.44
prothioconazole,560,plug,control,one,5.91
prothioconazole,560,plug,control,one,6.055
prothioconazole,560,plug,control,one,5.435
prothioconazole,560,plug,control,one,6.44
prothioconazole,560,plug,control,two,6.515
prothioconazole,560,plug,control,two,6.725
prothioconazole,560,plug,control,two,6.665
prothioconazole,560,plug,control,two,6.55
prothioconazole,560,paper,fungicide,one,2.775
prothioconazole,560,paper,fungicide,one,3.035
prothioconazole,560,paper,fungicide,one,3.48
prothioconazole,560,paper,fungicide,one,3.425
prothioconazole,560,paper,fungicide,two,2.81
prothioconazole,560,paper,fungicide,two,3.94
prothioconazole,560,paper,fungicide,two,3.455
prothioconazole,560,paper,fungicide,two,4.14
prothioconazole,560,paper,control,one,4.56
prothioconazole,560,paper,control,one,3.765
prothioconazole,560,paper,control,one,4.5
prothioconazole,560,paper,control,one,4.36
prothioconazole,560,paper,control,two,4.37
prothioconazole,560,paper,control,two,5.44
prothioconazole,560,paper,control,two,5.965
